City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,sao tome,0.3365,6.7273,298.17,73,40,5.14,ST,1722455558
285,peace river,56.2501,-117.286,289.32,88,100,7.2,CA,1722455559
286,haiku-pauwela,20.9219,-156.3051,300.49,67,40,8.75,US,1722455560
287,dompu,-8.5356,118.4622,295.83,94,9,1.04,ID,1722455562
288,brooks,50.5834,-111.8851,303.14,26,0,4.12,CA,1722455563
289,hotan,37.0997,79.9269,303.45,22,99,2.98,CN,1722455564
290,homa bay,-0.5273,34.4571,293.35,81,98,0.88,KE,1722455566
291,kavaratti,10.5669,72.642,299.89,88,100,4.53,IN,1722455567
292,iecava,56.5986,24.2022,290.81,86,88,3.0,LV,1722455570
293,nemuro,43.3236,145.575,288.83,94,100,1.07,JP,1722455571
294,yangambi,0.8102,24.4336,294.87,96,55,1.17,CD,1722455572
295,colares,38.7992,-9.4469,295.7,78,20,9.26,PT,1722455573
296,urucui,-7.2294,-44.5561,308.59,18,0,4.34,BR,1722455575
297,bechar,31.6167,-2.2167,312.33,10,0,3.09,DZ,1722455576
298,xinyi,22.373,110.9475,298.02,90,52,2.28,CN,1722455577
299,sao vicente,-23.9631,-46.3919,297.19,53,40,3.6,BR,1722455579
300,tenosique,17.4833,-91.4333,306.36,54,18,4.83,MX,1722455580
301,necochea,-38.5473,-58.7368,288.14,58,100,5.97,AR,1722455581
302,badiyah,22.45,58.8,302.57,59,100,1.03,OM,1722455583
303,cidreira,-30.1811,-50.2056,289.16,86,9,4.78,BR,1722455494
304,zag,46.9441,99.165,286.09,87,85,0.08,MN,1722455586
305,al jubayl,27.0112,49.6583,305.46,71,8,1.76,SA,1722455588
306,tazovsky,67.4667,78.7,286.53,96,100,4.83,RU,1722455589
307,sarh,9.1429,18.3923,296.3,95,100,1.72,TD,1722455591
308,broken hill,-31.95,141.4333,279.14,52,0,3.42,AU,1722455592
309,dhidhdhoo,6.8833,73.1,301.03,81,100,4.78,MV,1722455594
310,lukolela,-1.0605,17.1821,299.07,43,95,1.45,CD,1722455595
311,tamandare,-8.7597,-35.1047,297.69,83,16,4.44,BR,1722455597
312,mead,47.7674,-117.3549,303.14,37,0,2.57,US,1722455598
313,takab,36.4009,47.1133,292.76,28,0,1.79,IR,1722455600
314,gaalkacyo,6.7697,47.4308,298.58,65,78,9.25,SO,1722455601
315,jianguang,28.1938,115.7836,300.26,82,4,2.56,CN,1722455603
316,northam,51.0333,-4.2167,294.05,79,99,1.17,GB,1722455604
317,alotau,-10.3069,150.4462,296.58,96,100,1.86,PG,1722455606
318,cabo san lucas,22.8909,-109.9124,303.32,72,0,4.12,MX,1722455607
319,bochum,51.4833,7.2167,296.76,76,96,1.03,DE,1722455609
320,newman,37.3138,-121.0208,305.94,17,0,0.8,US,1722455610
321,dawson creek,55.7666,-120.2362,287.95,67,40,5.66,CA,1722455394
322,chita,52.0333,113.55,286.09,88,99,2.0,RU,1722455613
323,termoli,41.9888,14.9895,297.83,56,0,0.91,IT,1722455615
324,taungoo,18.9333,96.4333,296.65,99,100,2.91,MM,1722455616
325,vredendal,-31.6683,18.5012,283.72,59,0,2.16,ZA,1722455618
326,cabugao,17.7931,120.4578,299.07,93,100,4.12,PH,1722455620
327,vanino,49.0869,140.2543,286.81,97,100,0.84,RU,1722455621
328,maralal,1.0968,36.698,288.38,80,56,1.49,KE,1722455624
329,yurga,55.7231,84.8861,290.07,80,84,2.76,RU,1722455626
330,chernyshevsk,52.5243,117.0174,284.88,80,58,2.69,RU,1722455627
331,vilyuysk,63.7553,121.6247,281.39,75,78,1.9,RU,1722455629
332,campbell river,50.0163,-125.2446,296.26,68,40,3.09,CA,1722455631
333,mambajao,9.2504,124.7156,300.29,79,100,1.88,PH,1722455632
334,tierp,60.3427,17.5181,290.05,88,49,3.26,SE,1722455634
335,juneau,58.3019,-134.4197,286.71,88,100,3.6,US,1722455635
336,holualoa,19.6228,-155.9522,298.46,83,75,4.63,US,1722455637
337,queenstown,-31.8976,26.8753,276.14,40,0,0.58,ZA,1722455639
338,afaahiti,-17.75,-149.2833,296.08,64,31,7.69,PF,1722455640
339,makurazaki,31.2667,130.3167,299.49,88,2,4.78,JP,1722455642
340,liwale,-9.7667,37.9333,289.91,72,45,0.36,TZ,1722455643
341,san fernando de apure,7.8878,-67.4724,300.63,85,100,1.64,VE,1722455645
342,senillosa,-39.0,-68.4167,283.03,27,100,2.06,AR,1722455646
343,catemaco,18.4167,-95.1167,302.37,67,28,2.51,MX,1722455648
344,berdigestyakh,62.0989,126.6992,278.66,87,12,1.82,RU,1722455650
345,abra pampa,-22.7205,-65.697,289.77,5,0,0.24,AR,1722455651
346,chilaw,7.5758,79.7953,300.16,84,100,8.23,LK,1722455653
347,chonchi,-42.6128,-73.8092,282.1,93,100,5.73,CL,1722455654
348,hammerfest,70.6634,23.6821,288.4,77,0,6.17,NO,1722455656
349,riyadh,24.6877,46.7219,310.23,13,53,3.96,SA,1722455658
350,estreito,-5.7833,-43.25,309.52,17,0,3.37,BR,1722455659
351,undurkhaan,47.3194,110.6556,290.25,86,100,2.88,MN,1722455661
352,goderich,43.7501,-81.7165,300.32,78,20,4.12,CA,1722455663
353,kasane,-17.8167,25.15,292.48,25,10,3.61,BW,1722455666
354,duarte,34.1394,-117.9773,307.12,39,0,3.6,US,1722455668
355,kununurra,-15.7667,128.7333,288.14,63,11,2.06,AU,1722455670
356,antsiranana,-12.2787,49.2917,295.71,68,2,7.07,MG,1722455673
357,kuytun,54.3419,101.5036,289.04,97,100,2.3,RU,1722455675
358,tual,-5.6667,132.75,298.42,87,61,8.61,ID,1722455677
359,akranes,64.3218,-22.0749,286.18,82,100,10.54,IS,1722455678
360,challapata,-18.9,-66.7667,286.35,12,0,2.34,BO,1722455680
361,ust'-kalmanka,52.1207,83.305,292.05,71,31,0.98,RU,1722455682
362,el playon,7.4713,-73.2031,306.3,61,50,1.24,CO,1722455683
363,murzuq,25.9155,13.9184,303.71,19,9,4.59,LY,1722455685
364,klungkung,-8.5333,115.4,298.53,95,64,1.3,ID,1722455687
365,erseke,40.3378,20.6789,291.33,49,0,1.55,AL,1722455689
